preprocessing time, sequence, query length, query numeration, query time
1.88,AG1,100000,query0,0.2540
0.09,AG1,100000,query1,0.2444
0.09,AG1,100000,query2,0.2532
0.09,AG1,100000,query3,0.2462
0.09,AG1,100000,query4,0.2518
0.09,AG1,10000,query0,0.0257
0.09,AG1,10000,query1,0.0253
0.09,AG1,10000,query2,0.0255
0.09,AG1,10000,query3,0.0249
0.09,AG1,10000,query4,0.0259
0.09,AG1,1000,query0,0.0028
0.09,AG1,1000,query1,0.0028
0.09,AG1,1000,query2,0.0029
0.09,AG1,1000,query3,0.0029
0.09,AG1,1000,query4,0.0029
4.68,AG2,100000,query0,0.4356
0.10,AG2,100000,query1,0.4056
0.10,AG2,100000,query2,0.4160
0.09,AG2,100000,query3,0.5039
0.09,AG2,100000,query4,0.5451
0.09,AG2,10000,query0,0.0451
0.09,AG2,10000,query1,0.0358
0.09,AG2,10000,query2,0.0333
0.09,AG2,10000,query3,0.0745
0.09,AG2,10000,query4,0.0436
0.09,AG2,1000,query0,0.0034
0.09,AG2,1000,query1,0.0044
0.09,AG2,1000,query2,0.0069
0.09,AG2,1000,query3,0.0034
0.09,AG2,1000,query4,0.0060
6.15,AG3,100000,query0,0.3331
0.10,AG3,100000,query1,0.2853
0.10,AG3,100000,query2,0.2868
0.09,AG3,100000,query3,0.2824
0.10,AG3,100000,query4,0.2886
0.10,AG3,10000,query0,0.0277
0.10,AG3,10000,query1,0.0276
0.09,AG3,10000,query2,0.0296
0.09,AG3,10000,query3,0.0282
0.09,AG3,10000,query4,0.0285
0.09,AG3,1000,query0,0.0031
0.10,AG3,1000,query1,0.0032
0.09,AG3,1000,query2,0.0033
0.09,AG3,1000,query3,0.0031
0.09,AG3,1000,query4,0.0032
6.03,AG4,100000,query0,0.3234
0.16,AG4,100000,query1,0.3001
0.16,AG4,100000,query2,0.3087
0.16,AG4,100000,query3,0.3080
0.16,AG4,100000,query4,0.3061
0.16,AG4,10000,query0,0.0306
0.16,AG4,10000,query1,0.0309
0.16,AG4,10000,query2,0.0312
0.16,AG4,10000,query3,0.0307
0.16,AG4,10000,query4,0.0305
0.16,AG4,1000,query0,0.0033
0.16,AG4,1000,query1,0.0033
0.16,AG4,1000,query2,0.0034
0.16,AG4,1000,query3,0.0033
0.16,AG4,1000,query4,0.0034
8.13,AG5,100000,query0,0.3417
0.30,AG5,100000,query1,0.3141
0.17,AG5,100000,query2,0.3110
0.16,AG5,100000,query3,0.3068
0.16,AG5,100000,query4,0.3236
0.16,AG5,10000,query0,0.0359
0.16,AG5,10000,query1,0.0379
0.16,AG5,10000,query2,0.0305
0.16,AG5,10000,query3,0.0307
0.16,AG5,10000,query4,0.0308
0.16,AG5,1000,query0,0.0033
0.17,AG5,1000,query1,0.0034
0.16,AG5,1000,query2,0.0035
0.16,AG5,1000,query3,0.0034
0.16,AG5,1000,query4,0.0034
24.28,AG6,100000,query0,0.3976
9.52,AG6,100000,query1,0.3377
0.79,AG6,100000,query2,0.3204
0.78,AG6,100000,query3,0.3170
0.78,AG6,100000,query4,0.4052
0.78,AG6,10000,query0,0.0890
0.78,AG6,10000,query1,0.0322
0.78,AG6,10000,query2,0.0328
0.78,AG6,10000,query3,0.0322
0.77,AG6,10000,query4,0.0333
0.78,AG6,1000,query0,0.0512
0.78,AG6,1000,query1,0.0384
0.77,AG6,1000,query2,0.0037
0.78,AG6,1000,query3,0.0037
0.77,AG6,1000,query4,0.0037
44.38,AG7,100000,query0,0.4970
41.50,AG7,100000,query1,0.4264
41.31,AG7,100000,query2,0.4133
44.99,AG7,100000,query3,0.4238
35.27,AG7,100000,query4,0.3384
45.56,AG7,10000,query0,0.0510
37.78,AG7,10000,query1,0.0998
33.02,AG7,10000,query2,0.1083
45.58,AG7,10000,query3,0.0765
35.22,AG7,10000,query4,0.0612
31.24,AG7,1000,query0,0.0346
53.73,AG7,1000,query1,0.0288
30.88,AG7,1000,query2,0.0217
28.77,AG7,1000,query3,0.0750
46.59,AG7,1000,query4,0.0153
4.05,CV,100000,query0,0.6989
0.08,CV,100000,query1,0.4874
0.08,CV,100000,query2,0.6276
0.08,CV,100000,query3,0.5842
0.08,CV,100000,query4,0.5935
0.08,CV,10000,query0,0.1364
0.08,CV,10000,query1,0.0422
0.08,CV,10000,query2,0.0624
0.08,CV,10000,query3,0.0575
0.08,CV,10000,query4,0.1147
0.08,CV,1000,query0,0.0093
0.08,CV,1000,query1,0.0114
0.08,CV,1000,query2,0.0031
0.08,CV,1000,query3,0.0127
0.08,CV,1000,query4,0.0033
4.16,EC,100000,query0,0.4709
0.09,EC,100000,query1,0.4235
0.09,EC,100000,query2,0.2955
0.09,EC,100000,query3,0.2895
0.09,EC,100000,query4,0.3116
0.09,EC,10000,query0,0.0360
0.09,EC,10000,query1,0.0538
0.09,EC,10000,query2,0.0313
0.09,EC,10000,query3,0.0362
0.09,EC,10000,query4,0.0441
0.09,EC,1000,query0,0.0114
0.09,EC,1000,query1,0.0038
0.09,EC,1000,query2,0.0033
0.09,EC,1000,query3,0.0060
0.09,EC,1000,query4,0.0039
4.36,O,100000,query0,11.8785
0.09,O,100000,query1,0.5260
0.09,O,100000,query2,0.5032
0.09,O,100000,query3,0.5294
0.09,O,100000,query4,11.7670
0.09,O,10000,query0,0.0656
0.09,O,10000,query1,0.0451
0.09,O,10000,query2,0.0823
0.09,O,10000,query3,0.0454
0.09,O,10000,query4,0.0515
0.09,O,1000,query0,0.0088
0.09,O,1000,query1,0.0038
0.09,O,1000,query2,0.0098
0.09,O,1000,query3,0.0077
0.09,O,1000,query4,0.0036
4.30,Sh,100000,query0,0.4724
0.08,Sh,100000,query1,0.4369
0.08,Sh,100000,query2,0.4508
0.08,Sh,100000,query3,0.3233
0.08,Sh,100000,query4,0.4237
0.08,Sh,10000,query0,0.0374
0.08,Sh,10000,query1,0.0594
0.08,Sh,10000,query2,0.0388
0.08,Sh,10000,query3,0.0461
0.08,Sh,10000,query4,0.0277
0.08,Sh,1000,query0,0.0159
0.08,Sh,1000,query1,0.0051
0.08,Sh,1000,query2,0.0058
0.08,Sh,1000,query3,0.0037
0.08,Sh,1000,query4,0.0032
