preprocessing time,sequence,query length,query numeration,query time
4.86,AG1,100000,query0,0.1977
0.09,AG1,100000,query1,0.1052
0.09,AG1,100000,query2,0.1036
0.09,AG1,100000,query3,0.112
0.09,AG1,100000,query4,0.1054
0.09,AG1,10000,query0,0.0233
0.09,AG1,10000,query1,0.0116
0.09,AG1,10000,query2,0.0119
0.09,AG1,10000,query3,0.0115
0.09,AG1,10000,query4,0.012
0.09,AG1,1000,query0,0.0263
0.09,AG1,1000,query1,0.0256
0.09,AG1,1000,query2,0.0065
0.09,AG1,1000,query3,0.002
0.09,AG1,1000,query4,0.0016
8.42,AG2,100000,query0,0.2276
0.09,AG2,100000,query1,0.1716
0.1,AG2,100000,query2,0.1727
0.09,AG2,100000,query3,0.2447
0.09,AG2,100000,query4,0.1994
0.09,AG2,10000,query0,0.0379
0.09,AG2,10000,query1,0.0178
0.09,AG2,10000,query2,0.0163
0.09,AG2,10000,query3,0.0371
0.09,AG2,10000,query4,0.0203
0.1,AG2,1000,query0,0.0062
0.09,AG2,1000,query1,0.0027
0.09,AG2,1000,query2,0.004
0.09,AG2,1000,query3,0.0018
0.1,AG2,1000,query4,0.0045
9.29,AG3,100000,query0,0.203
0.1,AG3,100000,query1,0.1287
0.1,AG3,100000,query2,0.1197
0.1,AG3,100000,query3,0.1321
0.1,AG3,100000,query4,0.1225
0.1,AG3,10000,query0,0.0206
0.1,AG3,10000,query1,0.0123
0.1,AG3,10000,query2,0.012
0.1,AG3,10000,query3,0.0122
0.1,AG3,10000,query4,0.0126
0.1,AG3,1000,query0,0.0131
0.1,AG3,1000,query1,0.0022
0.1,AG3,1000,query2,0.0018
0.1,AG3,1000,query3,0.0019
0.1,AG3,1000,query4,0.0019
6.14,AG4,100000,query0,0.1359
0.12,AG4,100000,query1,0.1298
0.12,AG4,100000,query2,0.1263
0.12,AG4,100000,query3,0.1268
0.12,AG4,100000,query4,0.1324
0.12,AG4,10000,query0,0.0182
0.12,AG4,10000,query1,0.0128
0.12,AG4,10000,query2,0.0131
0.12,AG4,10000,query3,0.0131
0.12,AG4,10000,query4,0.0127
0.12,AG4,1000,query0,0.0146
0.12,AG4,1000,query1,0.0018
0.12,AG4,1000,query2,0.0021
0.12,AG4,1000,query3,0.002
0.12,AG4,1000,query4,0.0018
8.01,AG5,100000,query0,0.14
3.76,AG5,100000,query1,0.1857
0.26,AG5,100000,query2,0.1561
0.26,AG5,100000,query3,0.1495
0.26,AG5,100000,query4,0.1307
0.26,AG5,10000,query0,0.0488
0.26,AG5,10000,query1,0.0544
0.26,AG5,10000,query2,0.0135
0.26,AG5,10000,query3,0.0147
0.26,AG5,10000,query4,0.0177
0.26,AG5,1000,query0,0.0384
0.26,AG5,1000,query1,0.0019
0.26,AG5,1000,query2,0.0348
0.26,AG5,1000,query3,0.0577
0.26,AG5,1000,query4,0.0022
25.58,AG6,100000,query0,0.2443
27.29,AG6,100000,query1,0.1453
23.81,AG6,100000,query2,0.1446
20.91,AG6,100000,query3,0.1542
20.6,AG6,100000,query4,0.2288
15.32,AG6,10000,query0,0.0535
14.65,AG6,10000,query1,0.0559
14.67,AG6,10000,query2,0.0258
15.48,AG6,10000,query3,0.1035
15.38,AG6,10000,query4,0.0214
17.89,AG6,1000,query0,0.0832
14.92,AG6,1000,query1,0.0658
14.6,AG6,1000,query2,0.0167
16.09,AG6,1000,query3,0.016
15.66,AG6,1000,query4,0.0191
34.37,AG7,100000,query0,0.2672
41.76,AG7,100000,query1,0.2278
30.12,AG7,100000,query2,0.1556
45.26,AG7,100000,query3,0.1424
36.59,AG7,100000,query4,0.237
31.98,AG7,10000,query0,0.1126
30.45,AG7,10000,query1,0.0241
30.08,AG7,10000,query2,0.0269
31.6,AG7,10000,query3,0.0399
29.65,AG7,10000,query4,0.0378
30.14,AG7,1000,query0,0.0129
29.57,AG7,1000,query1,0.0542
30.02,AG7,1000,query2,0.0125
29.09,AG7,1000,query3,0.0269
29.23,AG7,1000,query4,0.012
4.51,CV,100000,query0,0.4778
0.08,CV,100000,query1,0.2266
0.08,CV,100000,query2,0.2898
0.08,CV,100000,query3,0.2725
0.08,CV,100000,query4,0.2174
0.08,CV,10000,query0,0.083
0.08,CV,10000,query1,0.0271
0.08,CV,10000,query2,0.0369
0.08,CV,10000,query3,0.0333
0.08,CV,10000,query4,0.0844
0.08,CV,1000,query0,0.0116
0.08,CV,1000,query1,0.0097
0.08,CV,1000,query2,0.0017
0.08,CV,1000,query3,0.0103
0.08,CV,1000,query4,0.0022
4.17,EC,100000,query0,0.1684
0.09,EC,100000,query1,0.1647
0.09,EC,100000,query2,0.1268
0.09,EC,100000,query3,0.1253
0.09,EC,100000,query4,0.1272
0.09,EC,10000,query0,0.0186
0.09,EC,10000,query1,0.0107
0.09,EC,10000,query2,0.0117
0.09,EC,10000,query3,0.015
0.09,EC,10000,query4,0.0161
0.09,EC,1000,query0,0.0107
0.09,EC,1000,query1,0.0022
0.09,EC,1000,query2,0.01
0.09,EC,1000,query3,0.0037
0.09,EC,1000,query4,0.0021
4.31,Sh,100000,query0,0.2323
0.08,Sh,100000,query1,0.2859
0.08,Sh,100000,query2,0.1812
0.08,Sh,100000,query3,0.1545
0.08,Sh,100000,query4,0.1937
