preprocessing time,sequence,query length, query numeration,query time
0.26,AG1,100000,query0,0.052
0.09,AG1,100000,query1,0.048
0.09,AG1,100000,query2,0.0494
0.09,AG1,100000,query3,0.0564
0.09,AG1,100000,query4,0.0486
0.09,AG1,10000,query0,0.0053
0.09,AG1,10000,query1,0.0052
0.09,AG1,10000,query2,0.0052
0.09,AG1,10000,query3,0.0167
0.09,AG1,10000,query4,0.0051
0.09,AG1,1000,query0,0.0063
0.09,AG1,1000,query1,0.0008
0.09,AG1,1000,query2,0.0008
0.09,AG1,1000,query3,0.0008
0.09,AG1,1000,query4,0.0008
3.95,AG2,100000,query0,0.1085
0.1,AG2,100000,query1,0.1113
0.09,AG2,100000,query2,0.0983
0.09,AG2,100000,query3,0.1115
0.09,AG2,100000,query4,0.0671
0.09,AG2,10000,query0,0.0063
0.09,AG2,10000,query1,0.0201
0.09,AG2,10000,query2,0.0304
0.09,AG2,10000,query3,0.0065
0.09,AG2,10000,query4,0.0083
0.09,AG2,1000,query0,0.0009
0.09,AG2,1000,query1,0.0039
0.09,AG2,1000,query2,0.0012
0.09,AG2,1000,query3,0.0009
0.09,AG2,1000,query4,0.0027
3.82,AG3,100000,query0,0.0947
0.1,AG3,100000,query1,0.0573
0.1,AG3,100000,query2,0.0566
0.1,AG3,100000,query3,0.0571
0.1,AG3,100000,query4,0.0569
0.1,AG3,10000,query0,0.014
0.1,AG3,10000,query1,0.0062
0.1,AG3,10000,query2,0.0062
0.1,AG3,10000,query3,0.0061
0.1,AG3,10000,query4,0.0062
0.1,AG3,1000,query0,0.0011
0.1,AG3,1000,query1,0.001
0.1,AG3,1000,query2,0.001
0.1,AG3,1000,query3,0.001
0.1,AG3,1000,query4,0.0011
0.88,AG4,100000,query0,0.0641
0.15,AG4,100000,query1,0.0678
0.15,AG4,100000,query2,0.0602
0.15,AG4,100000,query3,0.0602
0.15,AG4,100000,query4,0.0596
0.16,AG4,10000,query0,0.0189
0.15,AG4,10000,query1,0.0066
0.15,AG4,10000,query2,0.0062
0.15,AG4,10000,query3,0.0066
0.16,AG4,10000,query4,0.0156
0.15,AG4,1000,query0,0.0009
0.15,AG4,1000,query1,0.0064
0.15,AG4,1000,query2,0.0011
0.15,AG4,1000,query3,0.0011
0.15,AG4,1000,query4,0.0009
0.24,AG5,100000,query0,0.0613
0.24,AG5,100000,query1,0.0608
0.24,AG5,100000,query2,0.0609
0.24,AG5,100000,query3,0.0988
0.24,AG5,100000,query4,0.0612
0.24,AG5,10000,query0,0.0063
0.24,AG5,10000,query1,0.0547
0.24,AG5,10000,query2,0.0066
0.24,AG5,10000,query3,0.0065
0.24,AG5,10000,query4,0.0063
0.24,AG5,1000,query0,0.0009
0.24,AG5,1000,query1,0.0011
0.24,AG5,1000,query2,0.0009
0.24,AG5,1000,query3,0.0009
0.24,AG5,1000,query4,0.001
21.65,AG6,100000,query0,0.1542
21.39,AG6,100000,query1,0.0848
10.71,AG6,100000,query2,0.0773
1.04,AG6,100000,query3,0.1337
0.88,AG6,100000,query4,0.071
0.88,AG6,10000,query0,0.0278
0.88,AG6,10000,query1,0.008
0.88,AG6,10000,query2,0.008
0.88,AG6,10000,query3,0.008
0.88,AG6,10000,query4,0.0079
0.88,AG6,1000,query0,0.0012
0.88,AG6,1000,query1,0.0012
0.88,AG6,1000,query2,0.0012
0.88,AG6,1000,query3,0.0012
0.88,AG6,1000,query4,0.0012
46.84,AG7,100000,query0,0.11
43.58,AG7,100000,query1,0.1648
33.02,AG7,100000,query2,0.074
44.58,AG7,100000,query3,0.1028
33.08,AG7,100000,query4,0.0765
33.73,AG7,10000,query0,0.0109
40.64,AG7,10000,query1,0.0245
31.78,AG7,10000,query2,0.0141
38.87,AG7,10000,query3,0.0158
42.48,AG7,10000,query4,0.0201
32.43,AG7,1000,query0,0.0042
36.24,AG7,1000,query1,0.0062
35.8,AG7,1000,query2,0.0056
34.19,AG7,1000,query3,0.0201
32.1,AG7,1000,query4,0.005
4.32,CV,100000,query0,0.2127
0.09,CV,100000,query1,0.1126
0.08,CV,100000,query2,0.112
0.08,CV,100000,query3,0.1576
0.08,CV,100000,query4,0.1053
0.08,CV,10000,query0,0.0128
0.08,CV,10000,query1,0.0064
0.08,CV,10000,query2,0.0079
0.08,CV,10000,query3,0.0097
0.08,CV,10000,query4,0.0763
0.08,CV,1000,query0,0.006
0.08,CV,1000,query1,0.001
0.08,CV,1000,query2,0.0011
0.08,CV,1000,query3,0.0011
0.08,CV,1000,query4,0.0048
4.44,EC,100000,query0,0.1253
0.09,EC,100000,query1,0.055
0.09,EC,100000,query2,0.1187
0.09,EC,100000,query3,0.0816
0.08,EC,100000,query4,0.0582
0.09,EC,10000,query0,0.0088
0.09,EC,10000,query1,0.0063
0.09,EC,10000,query2,0.0054
0.09,EC,10000,query3,0.0063
0.09,EC,10000,query4,0.0056
0.09,EC,1000,query0,0.0059
0.08,EC,1000,query1,0.0011
0.08,EC,1000,query2,0.0009
0.09,EC,1000,query3,0.0009
0.09,EC,1000,query4,0.0012
4.02,Sh,100000,query0,0.1426
0.09,Sh,100000,query1,0.0547
0.08,Sh,100000,query2,0.3471
0.08,Sh,100000,query3,0.0899
0.08,Sh,100000,query4,0.0547
0.08,Sh,10000,query0,0.0061
0.08,Sh,10000,query1,0.0054
0.08,Sh,10000,query2,0.0066
0.08,Sh,10000,query3,0.006
0.08,Sh,10000,query4,0.0064
0.08,Sh,1000,query0,0.001
0.08,Sh,1000,query1,0.0012
0.08,Sh,1000,query2,0.0057
0.08,Sh,1000,query3,0.0012
0.08,Sh,1000,query4,0.0011
