preprocessing time,sequence,query length,query numeration,query time
5.44,AG1,100000,query0,0.0672
0.09,AG1,100000,query1,0.0522
0.09,AG1,100000,query2,0.0517
0.09,AG1,100000,query3,0.0514
0.1,AG1,100000,query4,0.0509
0.09,AG1,10000,query0,0.0176
0.09,AG1,10000,query1,0.006
0.09,AG1,10000,query2,0.0058
0.09,AG1,10000,query3,0.035
0.09,AG1,10000,query4,0.0054
0.09,AG1,1000,query0,0.0115
0.09,AG1,1000,query1,0.0012
0.09,AG1,1000,query2,0.0095
0.09,AG1,1000,query3,0.0013
0.09,AG1,1000,query4,0.001
4.89,AG2,100000,query0,0.1119
0.09,AG2,100000,query1,0.0949
0.09,AG2,100000,query2,0.0993
0.09,AG2,100000,query3,0.1222
0.09,AG2,100000,query4,0.0674
0.09,AG2,10000,query0,0.0064
0.09,AG2,10000,query1,0.02
0.09,AG2,10000,query2,0.0303
0.09,AG2,10000,query3,0.0064
0.09,AG2,10000,query4,0.0082
0.09,AG2,1000,query0,0.0012
0.09,AG2,1000,query1,0.0042
0.09,AG2,1000,query2,0.0015
0.09,AG2,1000,query3,0.0012
0.09,AG2,1000,query4,0.003
4.97,AG3,100000,query0,0.1366
0.1,AG3,100000,query1,0.0557
0.09,AG3,100000,query2,0.0565
0.09,AG3,100000,query3,0.0557
0.09,AG3,100000,query4,0.0565
0.09,AG3,10000,query0,0.0161
0.09,AG3,10000,query1,0.0062
0.09,AG3,10000,query2,0.0061
0.09,AG3,10000,query3,0.0062
0.09,AG3,10000,query4,0.0061
0.09,AG3,1000,query0,0.0012
0.09,AG3,1000,query1,0.0011
0.09,AG3,1000,query2,0.0011
0.09,AG3,1000,query3,0.0011
0.09,AG3,1000,query4,0.0016
6.13,AG4,100000,query0,0.0829
0.12,AG4,100000,query1,0.059
0.12,AG4,100000,query2,0.0605
0.12,AG4,100000,query3,0.0701
0.12,AG4,100000,query4,0.0601
0.12,AG4,10000,query0,0.0064
0.12,AG4,10000,query1,0.0064
0.12,AG4,10000,query2,0.0062
0.12,AG4,10000,query3,0.0065
0.12,AG4,10000,query4,0.0061
0.12,AG4,1000,query0,0.0127
0.12,AG4,1000,query1,0.0012
0.12,AG4,1000,query2,0.0011
0.12,AG4,1000,query3,0.0012
0.12,AG4,1000,query4,0.0011
8.04,AG5,100000,query0,0.0647
3.62,AG5,100000,query1,0.0733
0.21,AG5,100000,query2,0.0608
0.21,AG5,100000,query3,0.0608
0.21,AG5,100000,query4,0.0615
0.21,AG5,10000,query0,0.0449
0.21,AG5,10000,query1,0.0067
0.21,AG5,10000,query2,0.0361
0.21,AG5,10000,query3,0.0065
0.21,AG5,10000,query4,0.0065
0.21,AG5,1000,query0,0.0076
0.21,AG5,1000,query1,0.0012
0.21,AG5,1000,query2,0.0011
0.21,AG5,1000,query3,0.0012
0.21,AG5,1000,query4,0.0011
24.03,AG6,100000,query0,0.1514
25.84,AG6,100000,query1,0.1369
13.61,AG6,100000,query2,0.1498
3.05,AG6,100000,query3,0.1386
0.97,AG6,100000,query4,0.0634
0.96,AG6,10000,query0,0.0692
0.97,AG6,10000,query1,0.0267
0.97,AG6,10000,query2,0.007
0.97,AG6,10000,query3,0.0073
0.96,AG6,10000,query4,0.0069
0.96,AG6,1000,query0,0.0013
0.96,AG6,1000,query1,0.0013
0.97,AG6,1000,query2,0.0012
0.97,AG6,1000,query3,0.0011
0.96,AG6,1000,query4,0.0291
45.83,AG7,100000,query0,0.0789
41.69,AG7,100000,query1,0.07
33.3,AG7,100000,query2,0.0799
44.46,AG7,100000,query3,0.1216
45.02,AG7,100000,query4,0.0792
33.27,AG7,10000,query0,0.0182
45.23,AG7,10000,query1,0.0445
36.88,AG7,10000,query2,0.0126
33.24,AG7,10000,query3,0.0209
39.04,AG7,10000,query4,0.0208
34.19,AG7,1000,query0,0.0057
38.25,AG7,1000,query1,0.0056
32.72,AG7,1000,query2,0.0109
37.87,AG7,1000,query3,0.0067
37.76,AG7,1000,query4,0.0061
4.5,CV,100000,query0,0.1509
0.08,CV,100000,query1,0.1184
0.08,CV,100000,query2,0.1119
0.08,CV,100000,query3,0.1552
0.08,CV,100000,query4,0.1048
0.08,CV,10000,query0,0.0144
0.08,CV,10000,query1,0.0065
0.08,CV,10000,query2,0.008
0.08,CV,10000,query3,0.0098
0.08,CV,10000,query4,0.0759
0.08,CV,1000,query0,0.0024
0.08,CV,1000,query1,0.0011
0.08,CV,1000,query2,0.0011
0.08,CV,1000,query3,0.0013
0.08,CV,1000,query4,0.0047
4.22,EC,100000,query0,0.1664
0.09,EC,100000,query1,0.0546
0.08,EC,100000,query2,0.1185
0.08,EC,100000,query3,0.0696
0.08,EC,100000,query4,0.0693
0.08,EC,10000,query0,0.0143
0.08,EC,10000,query1,0.0064
