query time,sequence,query length
146,AG1,100000
125,AG1,100000
124,AG1,100000
126,AG1,100000
126,AG1,100000
34,AG1,10000
33,AG1,10000
33,AG1,10000
34,AG1,10000
33,AG1,10000
17,AG1,1000
18,AG1,1000
17,AG1,1000
17,AG1,1000
17,AG1,1000
374,AG2,100000
318,AG2,100000
281,AG2,100000
332,AG2,100000
294,AG2,100000
53,AG2,10000
37,AG2,10000
43,AG2,10000
83,AG2,10000
43,AG2,10000
18,AG2,1000
19,AG2,1000
18,AG2,1000
20,AG2,1000
19,AG2,1000
139,AG3,100000
140,AG3,100000
140,AG3,100000
136,AG3,100000
138,AG3,100000
37,AG3,10000
35,AG3,10000
36,AG3,10000
36,AG3,10000
36,AG3,10000
17,AG3,1000
18,AG3,1000
18,AG3,1000
18,AG3,1000
18,AG3,1000
181,AG4,100000
179,AG4,100000
181,AG4,100000
179,AG4,100000
179,AG4,100000
46,AG4,10000
46,AG4,10000
47,AG4,10000
45,AG4,10000
46,AG4,10000
21,AG4,1000
20,AG4,1000
21,AG4,1000
21,AG4,1000
21,AG4,1000
236,AG5,100000
232,AG5,100000
231,AG5,100000
235,AG5,100000
232,AG5,100000
59,AG5,10000
58,AG5,10000
58,AG5,10000
58,AG5,10000
61,AG5,10000
24,AG5,1000
24,AG5,1000
23,AG5,1000
24,AG5,1000
24,AG5,1000
481,AG6,100000
485,AG6,100000
483,AG6,100000
484,AG6,100000
497,AG6,100000
134,AG6,10000
134,AG6,10000
134,AG6,10000
134,AG6,10000
133,AG6,10000
43,AG6,1000
42,AG6,1000
43,AG6,1000
44,AG6,1000
43,AG6,1000
758,AG7,100000
758,AG7,100000
754,AG7,100000
755,AG7,100000
758,AG7,100000
218,AG7,10000
222,AG7,10000
218,AG7,10000
221,AG7,10000
217,AG7,10000
63,AG7,1000
63,AG7,1000
63,AG7,1000
62,AG7,1000
63,AG7,1000
320,CV,100000
296,CV,100000
272,CV,100000
336,CV,100000
320,CV,100000
32,CV,10000
47,CV,10000
31,CV,10000
87,CV,10000
69,CV,10000
16,CV,1000
16,CV,1000
18,CV,1000
16,CV,1000
19,CV,1000
181,EC,100000
162,EC,100000
208,EC,100000
155,EC,100000
232,EC,100000
34,EC,10000
36,EC,10000
38,EC,10000
43,EC,10000
39,EC,10000
16,EC,1000
16,EC,1000
18,EC,1000
16,EC,1000
17,EC,1000
312,Sh,100000
145,Sh,100000
131,Sh,100000
174,Sh,100000
326,Sh,100000
34,Sh,10000
31,Sh,10000
38,Sh,10000
36,Sh,10000
31,Sh,10000
17,Sh,1000
19,Sh,1000
28,Sh,1000
15,Sh,1000
19,Sh,1000
