window_size,hash,ham_distance,similarity,error,blast_output
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,0,100.0,0.000000,100
2,Boost,3,95.3125,3.577500,98.89
2,Boost,1,98.4375,0.452500,98.89
2,Boost,3,95.3125,3.017500,98.33
2,Boost,3,95.3125,3.017500,98.33
2,Boost,3,95.3125,2.467500,97.78
2,Boost,13,79.6875,20.312500,100
2,Boost,6,90.625,6.645000,97.27
2,Boost,7,89.0625,8.667500,97.73
2,Boost,11,82.8125,9.407500,92.22
2,Boost,6,90.625,3.265000,93.89
2,Boost,6,90.625,3.265000,93.89
2,Boost,9,85.9375,7.952500,93.89
2,Boost,3,95.3125,4.687500,100
2,Boost,5,92.1875,7.812500,100
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,10,84.375,8.955000,93.33
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,11,82.8125,8.857500,91.67
2,Boost,8,87.5,5.280000,92.78
2,Boost,8,87.5,5.280000,92.78
2,Boost,9,85.9375,7.392500,93.33
2,Boost,9,85.9375,7.392500,93.33
2,Boost,10,84.375,7.295000,91.67
2,Boost,10,84.375,7.295000,91.67
