window_size,hash,ham_distance,similarity,error,blast_output
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,0.000000,100
3,Native,0,100.0,1.110000,98.89
3,Native,0,100.0,1.110000,98.89
3,Native,0,100.0,1.670000,98.33
3,Native,0,100.0,1.670000,98.33
3,Native,1,98.4375,0.657500,97.78
3,Native,2,96.875,3.125000,100
3,Native,0,100.0,2.730000,97.27
3,Native,0,100.0,2.270000,97.73
3,Native,3,95.3125,3.092500,92.22
3,Native,0,100.0,6.110000,93.89
3,Native,0,100.0,6.110000,93.89
3,Native,0,100.0,6.110000,93.89
3,Native,1,98.4375,1.562500,100
3,Native,1,98.4375,1.562500,100
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,1,98.4375,5.107500,93.33
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,1,98.4375,5.657500,92.78
3,Native,1,98.4375,5.657500,92.78
3,Native,0,100.0,6.670000,93.33
3,Native,0,100.0,6.670000,93.33
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.205000,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,1,98.4375,5.657500,92.78
3,Native,2,96.875,5.205000,91.67
3,Native,2,96.875,5.765000,91.11
3,Native,2,96.875,5.765000,91.11
3,Native,3,95.3125,3.642500,91.67
3,Native,1,98.4375,7.327500,91.11
3,Native,1,98.4375,7.327500,91.11
3,Native,1,98.4375,7.327500,91.11
3,Native,1,98.4375,7.327500,91.11
3,Native,1,98.4375,7.327500,91.11
3,Native,1,98.4375,7.327500,91.11
3,Native,0,100.0,7.220000,92.78
3,Native,2,96.875,2.435000,94.44
3,Native,3,95.3125,4.752500,90.56
3,Native,3,95.3125,5.312500,90
3,Native,0,100.0,8.330000,91.67
3,Native,2,96.875,6.315000,90.56
3,Native,2,96.875,5.765000,91.11
3,Native,2,96.875,6.315000,90.56
3,Native,2,96.875,5.765000,91.11
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,4.687500,100
3,Native,2,96.875,5.205000,91.67
3,Native,0,100.0,8.330000,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,1,98.4375,6.767500,91.67
3,Native,0,100.0,8.890000,91.11
3,Native,0,100.0,8.890000,91.11
3,Native,0,100.0,8.890000,91.11
3,Native,0,100.0,8.890000,91.11
3,Native,0,100.0,8.890000,91.11
3,Native,2,96.875,6.875000,90
3,Native,1,98.4375,7.327500,91.11
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,7.877500,90.56
3,Native,0,100.0,3.430000,96.57
3,Native,2,96.875,6.875000,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,6.767500,91.67
3,Native,2,96.875,6.875000,90
3,Native,3,95.3125,5.312500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,2,96.875,6.875000,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,2,96.875,6.875000,90
3,Native,2,96.875,6.875000,90
3,Native,2,96.875,6.315000,90.56
3,Native,2,96.875,6.315000,90.56
3,Native,4,93.75,4.310000,89.44
3,Native,3,95.3125,6.422500,88.89
3,Native,1,98.4375,7.877500,90.56
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,1,98.4375,8.437500,90
3,Native,2,96.875,6.875000,90
3,Native,3,95.3125,5.872500,89.44
3,Native,3,95.3125,5.872500,89.44
3,Native,2,96.875,7.435000,89.44
3,Native,3,95.3125,5.752500,89.56
3,Native,3,95.3125,5.312500,90
3,Native,1,98.4375,8.997500,89.44
3,Native,1,98.4375,8.997500,89.44
3,Native,1,98.4375,8.997500,89.44
3,Native,1,98.4375,8.997500,89.44
3,Native,1,98.4375,8.497500,89.94
3,Native,1,98.4375,1.562500,100
3,Native,2,96.875,7.435000,89.44
3,Native,2,96.875,7.435000,89.44
3,Native,2,96.875,7.435000,89.44
3,Native,2,96.875,7.435000,89.44
3,Native,2,96.875,8.765000,88.11
3,Native,2,96.875,5.395000,91.48
3,Native,3,95.3125,5.872500,89.44
3,Native,1,98.4375,9.047500,89.39
3,Native,2,96.875,8.765000,88.11
3,Native,1,98.4375,8.547500,89.89
3,Native,1,98.4375,9.547500,88.89
3,Native,3,95.3125,6.422500,88.89
3,Native,2,96.875,7.985000,88.89
3,Native,1,98.4375,10.167500,88.27
3,Native,1,98.4375,10.167500,88.27
3,Native,2,96.875,7.985000,88.89
3,Native,2,96.875,11.165000,85.71
3,Native,1,98.4375,0.942500,99.38
3,Native,2,96.875,9.725000,87.15
3,Native,3,95.3125,3.642500,91.67
3,Native,3,95.3125,8.642500,86.67
3,Native,1,98.4375,10.727500,87.71
3,Native,3,95.3125,4.352500,90.96
3,Native,1,98.4375,8.277500,90.16
3,Native,2,96.875,6.715000,90.16
3,Native,1,98.4375,11.287500,87.15
3,Native,1,98.4375,11.287500,87.15
3,Native,1,98.4375,11.287500,87.15
3,Native,1,98.4375,11.287500,87.15
3,Native,1,98.4375,1.562500,100
3,Native,2,96.875,9.165000,87.71
3,Native,2,96.875,5.305000,91.57
3,Native,0,100.0,8.430000,91.57
3,Native,1,98.4375,11.287500,87.15
3,Native,3,95.3125,7.602500,87.71
3,Native,3,95.3125,7.602500,87.71
3,Native,1,98.4375,11.847500,86.59
3,Native,0,100.0,1.860000,98.14
3,Native,2,96.875,1.875000,98.75
3,Native,1,98.4375,0.312500,98.75
3,Native,1,98.4375,0.312500,98.75
3,Native,1,98.4375,0.312500,98.75
3,Native,1,98.4375,0.312500,98.75
3,Native,1,98.4375,0.312500,98.75
3,Native,1,98.4375,0.942500,99.38
3,Native,0,100.0,1.880000,98.12
3,Native,1,98.4375,1.562500,100
3,Native,1,98.4375,1.562500,100
3,Native,1,98.4375,1.562500,100
3,Native,2,96.875,1.875000,98.75
3,Native,0,100.0,13.410000,86.59
3,Native,1,98.4375,1.562500,100
3,Native,1,98.4375,1.562500,100
3,Native,2,96.875,3.125000,100
3,Native,2,96.875,10.765000,86.11
3,Native,2,96.875,10.845000,86.03
3,Native,1,98.4375,12.407500,86.03
3,Native,3,95.3125,9.842500,85.47
3,Native,3,95.3125,9.842500,85.47
3,Native,2,96.875,9.945000,86.93
3,Native,1,98.4375,12.967500,85.47
3,Native,2,96.875,11.955000,84.92
3,Native,1,98.4375,12.967500,85.47
3,Native,1,98.4375,12.967500,85.47
3,Native,4,93.75,8.750000,85
3,Native,1,98.4375,0.302500,98.74
3,Native,3,95.3125,9.842500,85.47
3,Native,6,90.625,6.185000,84.44
3,Native,2,96.875,1.265000,98.14
3,Native,1,98.4375,12.877500,85.56
3,Native,3,95.3125,10.872500,84.44
3,Native,3,95.3125,10.872500,84.44
3,Native,3,95.3125,9.282500,86.03
3,Native,2,96.875,10.845000,86.03
3,Native,2,96.875,10.845000,86.03
3,Native,2,96.875,10.845000,86.03
3,Native,2,96.875,10.845000,86.03
3,Native,2,96.875,11.315000,85.56
3,Native,3,95.3125,10.392500,84.92
