window_size,hash,ham_distance,similarity,error,blast_output,bitscore,eValue
3,Boost,11,82.8125,14.847500,97.66,1022,0
3,Boost,10,84.375,12.895000,97.27,1018,0
3,Boost,10,84.375,12.895000,97.27,1018,0
3,Boost,10,84.375,12.695000,97.07,1016,0
3,Boost,9,85.9375,11.132500,97.07,1016,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,10,84.375,12.305000,96.68,1014,0
3,Boost,9,85.9375,10.542500,96.48,1012,0
3,Boost,9,85.9375,10.352500,96.29,1012,0
3,Boost,12,81.25,15.040000,96.29,1011,0
3,Boost,10,84.375,11.325000,95.7,1008,0
3,Boost,11,82.8125,13.677500,96.49,1006,0
3,Boost,12,81.25,14.260000,95.51,1005,0
3,Boost,12,81.25,14.060000,95.31,1004,0
3,Boost,9,85.9375,9.372500,95.31,1002,0
3,Boost,9,85.9375,9.372500,95.31,1001,0
3,Boost,10,84.375,10.745000,95.12,1001,0
3,Boost,10,84.375,10.745000,95.12,1001,0
3,Boost,10,84.375,11.145000,95.52,1001,0
3,Boost,11,82.8125,12.307500,95.12,1001,0
3,Boost,10,84.375,10.745000,95.12,1001,0
3,Boost,9,85.9375,9.182500,95.12,1000,0
3,Boost,9,85.9375,9.182500,95.12,1000,0
3,Boost,9,85.9375,9.182500,95.12,1000,0
3,Boost,12,81.25,13.480000,94.73,1000,0
3,Boost,9,85.9375,9.182500,95.12,1000,0
3,Boost,9,85.9375,9.182500,95.12,1000,0
3,Boost,8,87.5,7.620000,95.12,999,0
3,Boost,10,84.375,10.935000,95.31,999,0
3,Boost,10,84.375,10.745000,95.12,999,0
3,Boost,9,85.9375,8.982500,94.92,998,0
3,Boost,11,82.8125,11.917500,94.73,997,0
3,Boost,11,82.8125,11.917500,94.73,997,0
3,Boost,9,85.9375,10.942500,96.88,997,0
3,Boost,9,85.9375,8.982500,94.92,996,0
3,Boost,9,85.9375,8.592500,94.53,996,0
3,Boost,9,85.9375,8.592500,94.53,996,0
3,Boost,10,84.375,10.355000,94.73,995,0
3,Boost,15,76.5625,17.967500,94.53,995,0
3,Boost,10,84.375,10.355000,94.73,995,0
3,Boost,12,81.25,13.280000,94.53,995,0
3,Boost,13,79.6875,14.842500,94.53,994,0
3,Boost,11,82.8125,11.327500,94.14,994,0
3,Boost,12,81.25,13.090000,94.34,994,0
3,Boost,10,84.375,10.355000,94.73,994,0
3,Boost,11,82.8125,11.327500,94.14,993,0
3,Boost,11,82.8125,12.497500,95.31,993,0
3,Boost,10,84.375,9.575000,93.95,993,0
3,Boost,11,82.8125,11.327500,94.14,993,0
3,Boost,12,81.25,12.890000,94.14,991,0
3,Boost,12,81.25,12.890000,94.14,991,0
3,Boost,9,85.9375,7.812500,93.75,990,0
3,Boost,13,79.6875,14.452500,94.14,990,0
3,Boost,12,81.25,12.500000,93.75,989,0
3,Boost,9,85.9375,7.032500,92.97,982,0
3,Boost,13,79.6875,13.472500,93.16,981,0
3,Boost,15,76.5625,16.017500,92.58,972,0
3,Boost,8,87.5,5.080000,92.58,969,0
3,Boost,15,76.5625,14.847500,91.41,961,0
3,Boost,23,64.0625,27.147500,91.21,952,0
3,Boost,17,73.4375,16.992500,90.43,946,0
3,Boost,15,76.5625,17.997500,94.56,931,0
3,Boost,25,60.9375,28.512500,89.45,920,0
3,Boost,17,73.4375,13.862500,87.3,920,0
3,Boost,12,81.25,7.030000,88.28,919,0
3,Boost,12,81.25,7.030000,88.28,918,0
3,Boost,15,76.5625,10.937500,87.5,914,0
3,Boost,11,82.8125,5.097500,87.91,914,0
3,Boost,15,76.5625,10.937500,87.5,914,0
3,Boost,15,76.5625,10.157500,86.72,910,0
3,Boost,15,76.5625,9.957500,86.52,907,0
3,Boost,11,82.8125,4.827500,87.64,905,0
3,Boost,13,79.6875,16.392500,96.08,904,0
3,Boost,17,73.4375,12.502500,85.94,901,0
3,Boost,16,75.0,10.350000,85.35,899,0
3,Boost,16,75.0,10.160000,85.16,894,0
3,Boost,15,76.5625,19.417500,95.98,881,0
3,Boost,14,78.125,17.635000,95.76,879,0
3,Boost,11,82.8125,13.157500,95.97,878,0
3,Boost,14,78.125,7.835000,85.96,874,0
3,Boost,16,75.0,18.970000,93.97,868,0
3,Boost,11,82.8125,4.687500,87.5,865,0
3,Boost,17,73.4375,20.532500,93.97,863,0
3,Boost,13,79.6875,5.472500,85.16,862,0
3,Boost,14,78.125,2.145000,80.27,861,0
3,Boost,13,79.6875,12.822500,92.51,859,0
3,Boost,14,78.125,14.895000,93.02,855,0
3,Boost,13,79.6875,4.762500,84.45,854,0
3,Boost,18,71.875,22.055000,93.93,853,0
3,Boost,14,78.125,5.795000,83.92,851,0
3,Boost,13,79.6875,12.692500,92.38,847,0
3,Boost,13,79.6875,12.692500,92.38,847,0
3,Boost,13,79.6875,12.692500,92.38,847,0
3,Boost,14,78.125,13.025000,91.15,847,0
3,Boost,14,78.125,13.025000,91.15,847,0
3,Boost,14,78.125,14.045000,92.17,847,0
3,Boost,21,67.1875,14.652500,81.84,845,0
3,Boost,27,57.8125,25.387500,83.2,842,0
3,Boost,12,81.25,4.880000,76.37,833,0
3,Boost,17,73.4375,17.572500,91.01,827,0
