window_size,hash,ham_distance,similarity,error,blast_output,bitscore,eValue,mutation_threshold
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,3,95.3125,3.577500,98.89,370,1e-128,0
3,Native,1,98.4375,0.452500,98.89,370,2e-128,0
3,Native,6,90.625,7.705000,98.33,367,2e-127,0
3,Native,6,90.625,7.705000,98.33,367,2e-127,0
3,Native,6,90.625,7.155000,97.78,366,7e-127,0
3,Native,15,76.5625,23.437500,100,371,7e-127,0
3,Native,3,95.3125,1.957500,97.27,364,5e-126,0
3,Native,7,89.0625,8.667500,97.73,358,1e-123,0
3,Native,8,87.5,4.720000,92.22,355,1e-122,0
3,Native,10,84.375,9.515000,93.89,355,1e-122,0
3,Native,10,84.375,9.515000,93.89,355,1e-122,0
3,Native,10,84.375,9.515000,93.89,355,1e-122,0
3,Native,5,92.1875,7.812500,100,355,1e-122,0
3,Native,6,90.625,9.375000,100,355,1e-122,0
3,Native,9,85.9375,5.732500,91.67,354,3e-122,0
3,Native,9,85.9375,5.732500,91.67,354,3e-122,0
3,Native,13,79.6875,13.642500,93.33,353,5e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,9,85.9375,5.732500,91.67,353,6e-122,0
3,Native,8,87.5,5.280000,92.78,353,7e-122,0
3,Native,8,87.5,5.280000,92.78,353,7e-122,0
3,Native,11,82.8125,10.517500,93.33,353,9e-122,0
3,Native,11,82.8125,10.517500,93.33,353,9e-122,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,7,89.0625,2.607500,91.67,352,2e-121,0
3,Native,8,87.5,4.170000,91.67,352,2e-121,0
3,Native,8,87.5,4.170000,91.67,352,3e-121,0
3,Native,8,87.5,4.170000,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,9,85.9375,5.732500,91.67,352,3e-121,0
3,Native,7,89.0625,3.717500,92.78,352,4e-121,0
3,Native,7,89.0625,2.607500,91.67,351,6e-121,0
3,Native,8,87.5,3.610000,91.11,351,6e-121,0
3,Native,8,87.5,3.610000,91.11,351,6e-121,0
3,Native,8,87.5,4.170000,91.67,351,6e-121,0
3,Native,7,89.0625,2.047500,91.11,350,1e-120,0
3,Native,7,89.0625,2.047500,91.11,350,1e-120,0
3,Native,7,89.0625,2.047500,91.11,350,1e-120,0
3,Native,7,89.0625,2.047500,91.11,350,1e-120,0
3,Native,7,89.0625,2.047500,91.11,350,1e-120,0
3,Native,7,89.0625,2.047500,91.11,350,1e-120,0
3,Native,11,82.8125,9.967500,92.78,350,1e-120,0
3,Native,8,87.5,6.940000,94.44,350,1e-120,0
3,Native,13,79.6875,10.872500,90.56,350,1e-120,0
3,Native,9,85.9375,4.062500,90,350,1e-120,0
3,Native,7,89.0625,2.607500,91.67,350,2e-120,0
3,Native,11,82.8125,7.747500,90.56,350,2e-120,0
3,Native,10,84.375,6.735000,91.11,349,4e-120,0
3,Native,12,81.25,9.310000,90.56,348,4e-120,0
3,Native,9,85.9375,5.172500,91.11,348,5e-120,0
3,Native,25,60.9375,30.732500,91.67,355,5e-120,0
