window_size,hash,ham_distance,similarity,error,blast_output,bitscore,eValue,mutation_threshold
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,0,100.0,0.000000,100,374,4e-130,0
3,Blash_12,6,90.625,8.265000,98.89,370,1e-128,0
3,Blash_12,5,92.1875,6.702500,98.89,370,2e-128,0
3,Blash_12,5,92.1875,6.142500,98.33,367,2e-127,0
3,Blash_12,5,92.1875,6.142500,98.33,367,2e-127,0
3,Blash_12,6,90.625,7.155000,97.78,366,7e-127,0
3,Blash_12,13,79.6875,20.312500,100,371,7e-127,0
3,Blash_12,4,93.75,3.520000,97.27,364,5e-126,0
3,Blash_12,8,87.5,10.230000,97.73,358,1e-123,0
3,Blash_12,8,87.5,4.720000,92.22,355,1e-122,0
3,Blash_12,9,85.9375,7.952500,93.89,355,1e-122,0
3,Blash_12,9,85.9375,7.952500,93.89,355,1e-122,0
3,Blash_12,8,87.5,6.390000,93.89,355,1e-122,0
3,Blash_12,5,92.1875,7.812500,100,355,1e-122,0
3,Blash_12,6,90.625,9.375000,100,355,1e-122,0
3,Blash_12,6,90.625,1.045000,91.67,354,3e-122,0
3,Blash_12,6,90.625,1.045000,91.67,354,3e-122,0
3,Blash_12,14,78.125,15.205000,93.33,353,5e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,5.732500,91.67,353,6e-122,0
3,Blash_12,9,85.9375,6.842500,92.78,353,7e-122,0
3,Blash_12,9,85.9375,6.842500,92.78,353,7e-122,0
3,Blash_12,9,85.9375,7.392500,93.33,353,9e-122,0
3,Blash_12,9,85.9375,7.392500,93.33,353,9e-122,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,10,84.375,7.295000,91.67,352,2e-121,0
3,Blash_12,8,87.5,4.170000,91.67,352,2e-121,0
3,Blash_12,9,85.9375,5.732500,91.67,352,3e-121,0
3,Blash_12,9,85.9375,5.732500,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,12,81.25,10.420000,91.67,352,3e-121,0
3,Blash_12,8,87.5,5.280000,92.78,352,4e-121,0
3,Blash_12,9,85.9375,5.732500,91.67,351,6e-121,0
3,Blash_12,10,84.375,6.735000,91.11,351,6e-121,0
3,Blash_12,10,84.375,6.735000,91.11,351,6e-121,0
3,Blash_12,10,84.375,7.295000,91.67,351,6e-121,0
3,Blash_12,11,82.8125,8.297500,91.11,350,1e-120,0
3,Blash_12,11,82.8125,8.297500,91.11,350,1e-120,0
3,Blash_12,11,82.8125,8.297500,91.11,350,1e-120,0
3,Blash_12,11,82.8125,8.297500,91.11,350,1e-120,0
3,Blash_12,11,82.8125,8.297500,91.11,350,1e-120,0
3,Blash_12,11,82.8125,8.297500,91.11,350,1e-120,0
3,Blash_12,9,85.9375,6.842500,92.78,350,1e-120,0
3,Blash_12,8,87.5,6.940000,94.44,350,1e-120,0
3,Blash_12,6,90.625,0.065000,90.56,350,1e-120,0
3,Blash_12,13,79.6875,10.312500,90,350,1e-120,0
3,Blash_12,12,81.25,10.420000,91.67,350,2e-120,0
3,Blash_12,11,82.8125,7.747500,90.56,350,2e-120,0
3,Blash_12,7,89.0625,2.047500,91.11,349,4e-120,0
3,Blash_12,10,84.375,6.185000,90.56,348,4e-120,0
3,Blash_12,12,81.25,9.860000,91.11,348,5e-120,0
3,Blash_12,25,60.9375,30.732500,91.67,355,5e-120,0
3,Blash_12,12,81.25,10.420000,91.67,352,7e-120,0
3,Blash_12,15,76.5625,23.437500,100,353,8e-120,0
3,Blash_12,10,84.375,7.295000,91.67,348,9e-120,0
3,Blash_12,8,87.5,4.170000,91.67,348,1e-119,0
3,Blash_12,9,85.9375,5.732500,91.67,348,1e-119,0
3,Blash_12,9,85.9375,5.732500,91.67,348,1e-119,0
3,Blash_12,9,85.9375,5.732500,91.67,348,1e-119,0
3,Blash_12,9,85.9375,5.732500,91.67,347,1e-119,0
3,Blash_12,9,85.9375,5.732500,91.67,347,1e-119,0
3,Blash_12,9,85.9375,5.732500,91.67,347,1e-119,0
3,Blash_12,7,89.0625,2.047500,91.11,347,2e-119,0
3,Blash_12,7,89.0625,2.047500,91.11,347,2e-119,0
3,Blash_12,7,89.0625,2.047500,91.11,347,2e-119,0
3,Blash_12,7,89.0625,2.047500,91.11,347,2e-119,0
3,Blash_12,7,89.0625,2.047500,91.11,347,2e-119,0
3,Blash_12,10,84.375,5.625000,90,347,3e-119,0
3,Blash_12,10,84.375,6.735000,91.11,346,4e-119,0
3,Blash_12,9,85.9375,4.062500,90,346,4e-119,0
3,Blash_12,10,84.375,6.185000,90.56,346,5e-119,0
3,Blash_12,13,79.6875,16.882500,96.57,346,5e-119,0
3,Blash_12,11,82.8125,7.187500,90,346,6e-119,0
3,Blash_12,11,82.8125,7.187500,90,346,6e-119,0
3,Blash_12,15,76.5625,15.107500,91.67,349,7e-119,0
3,Blash_12,11,82.8125,7.187500,90,346,7e-119,0
3,Blash_12,11,82.8125,7.187500,90,345,9e-119,0
3,Blash_12,11,82.8125,7.187500,90,345,9e-119,0
3,Blash_12,11,82.8125,7.187500,90,345,9e-119,0
3,Blash_12,8,87.5,2.500000,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,1e-118,0
3,Blash_12,8,87.5,2.500000,90,345,2e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,2e-118,0
3,Blash_12,11,82.8125,7.187500,90,345,2e-118,0
3,Blash_12,7,89.0625,1.497500,90.56,344,2e-118,0
3,Blash_12,7,89.0625,1.497500,90.56,344,2e-118,0
3,Blash_12,9,85.9375,3.502500,89.44,344,2e-118,0
3,Blash_12,13,79.6875,9.202500,88.89,344,3e-118,0
3,Blash_12,7,89.0625,1.497500,90.56,344,3e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,5e-118,0
3,Blash_12,10,84.375,5.625000,90,343,7e-118,0
3,Blash_12,10,84.375,5.065000,89.44,343,1e-117,0
3,Blash_12,10,84.375,5.065000,89.44,343,1e-117,0
3,Blash_12,13,79.6875,9.752500,89.44,343,1e-117,0
3,Blash_12,10,84.375,5.185000,89.56,343,1e-117,0
3,Blash_12,8,87.5,2.500000,90,342,2e-117,0
3,Blash_12,10,84.375,5.065000,89.44,342,2e-117,0
3,Blash_12,10,84.375,5.065000,89.44,342,2e-117,0
3,Blash_12,10,84.375,5.065000,89.44,342,2e-117,0
3,Blash_12,10,84.375,5.065000,89.44,342,2e-117,0
3,Blash_12,11,82.8125,7.127500,89.94,342,3e-117,0
