window_size,hash,ham_distance,similarity,error,blast_output
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,0,100.0,0.000000,100
3,Spooky,3,95.3125,3.577500,98.89
3,Spooky,1,98.4375,0.452500,98.89
3,Spooky,6,90.625,7.705000,98.33
3,Spooky,6,90.625,7.705000,98.33
3,Spooky,6,90.625,7.155000,97.78
3,Spooky,15,76.5625,23.437500,100
3,Spooky,3,95.3125,1.957500,97.27
3,Spooky,7,89.0625,8.667500,97.73
3,Spooky,8,87.5,4.720000,92.22
3,Spooky,10,84.375,9.515000,93.89
3,Spooky,10,84.375,9.515000,93.89
3,Spooky,10,84.375,9.515000,93.89
3,Spooky,5,92.1875,7.812500,100
3,Spooky,6,90.625,9.375000,100
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,13,79.6875,13.642500,93.33
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,9,85.9375,5.732500,91.67
3,Spooky,8,87.5,5.280000,92.78
3,Spooky,8,87.5,5.280000,92.78
3,Spooky,11,82.8125,10.517500,93.33
3,Spooky,11,82.8125,10.517500,93.33
3,Spooky,7,89.0625,2.607500,91.67
