window_size,hash,ham_distance,similarity,error,blast_output,bitscore,eValue,mutation_threshold
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,0.000000,100,374,4e-130,0
3,Native,0,100.0,1.110000,98.89,370,1e-128,0
3,Native,0,100.0,1.110000,98.89,370,2e-128,0
3,Native,5,92.1875,6.142500,98.33,367,2e-127,0
3,Native,5,92.1875,6.142500,98.33,367,2e-127,0
3,Native,6,90.625,7.155000,97.78,366,7e-127,0
3,Native,12,81.25,18.750000,100,371,7e-127,0
3,Native,0,100.0,2.730000,97.27,364,5e-126,0
3,Native,5,92.1875,5.542500,97.73,358,1e-123,0
3,Native,0,100.0,7.780000,92.22,355,1e-122,0
3,Native,6,90.625,3.265000,93.89,355,1e-122,0
3,Native,6,90.625,3.265000,93.89,355,1e-122,0
3,Native,8,87.5,6.390000,93.89,355,1e-122,0
3,Native,5,92.1875,7.812500,100,355,1e-122,0
3,Native,3,95.3125,4.687500,100,355,1e-122,0
3,Native,0,100.0,8.330000,91.67,354,3e-122,0
3,Native,0,100.0,8.330000,91.67,354,3e-122,0
3,Native,6,90.625,2.705000,93.33,353,5e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,0,100.0,8.330000,91.67,353,6e-122,0
3,Native,7,89.0625,3.717500,92.78,353,7e-122,0
3,Native,7,89.0625,3.717500,92.78,353,7e-122,0
3,Native,7,89.0625,4.267500,93.33,353,9e-122,0
3,Native,7,89.0625,4.267500,93.33,353,9e-122,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,2e-121,0
3,Native,8,87.5,4.170000,91.67,352,2e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,0,100.0,8.330000,91.67,352,3e-121,0
3,Native,7,89.0625,3.717500,92.78,352,4e-121,0
3,Native,0,100.0,8.330000,91.67,351,6e-121,0
3,Native,0,100.0,8.890000,91.11,351,6e-121,0
3,Native,0,100.0,8.890000,91.11,351,6e-121,0
3,Native,0,100.0,8.330000,91.67,351,6e-121,0
3,Native,0,100.0,8.890000,91.11,350,1e-120,0
3,Native,0,100.0,8.890000,91.11,350,1e-120,0
3,Native,0,100.0,8.890000,91.11,350,1e-120,0
3,Native,0,100.0,8.890000,91.11,350,1e-120,0
3,Native,0,100.0,8.890000,91.11,350,1e-120,0
3,Native,0,100.0,8.890000,91.11,350,1e-120,0
3,Native,7,89.0625,3.717500,92.78,350,1e-120,0
3,Native,8,87.5,6.940000,94.44,350,1e-120,0
3,Native,0,100.0,9.440000,90.56,350,1e-120,0
3,Native,6,90.625,0.625000,90,350,1e-120,0
3,Native,7,89.0625,2.607500,91.67,350,2e-120,0
3,Native,6,90.625,0.065000,90.56,350,2e-120,0
3,Native,0,100.0,8.890000,91.11,349,4e-120,0
3,Native,0,100.0,9.440000,90.56,348,4e-120,0
3,Native,0,100.0,8.890000,91.11,348,5e-120,0
3,Native,18,71.875,19.795000,91.67,355,5e-120,0
3,Native,7,89.0625,2.607500,91.67,352,7e-120,0
3,Native,15,76.5625,23.437500,100,353,8e-120,0
