window_size,hash,ham_distance,similarity,error,blast_output,bitscore,eValue,mutation_threshold
3,Spooky,31,51.5625,48.437500,100,924,0,0
3,Spooky,25,60.9375,38.412500,99.35,920,0,0
3,Spooky,34,46.875,52.475000,99.35,917,0,0
3,Spooky,31,51.5625,47.787500,99.35,917,0,0
3,Spooky,25,60.9375,37.972500,98.91,915,0,0
3,Spooky,33,48.4375,50.472500,98.91,915,0,0
3,Spooky,32,50.0,48.910000,98.91,914,0,0
3,Spooky,36,43.75,54.940000,98.69,913,0,0
3,Spooky,36,43.75,54.940000,98.69,913,0,0
3,Spooky,26,59.375,39.315000,98.69,912,0,0
3,Spooky,35,45.3125,53.157500,98.47,911,0,0
3,Spooky,28,56.25,42.220000,98.47,911,0,0
3,Spooky,37,42.1875,56.502500,98.69,907,0,0
3,Spooky,30,53.125,41.645000,94.77,896,0,0
3,Spooky,31,51.5625,42.557500,94.12,890,0,0
3,Spooky,21,67.1875,25.182500,92.37,876,0,0
3,Spooky,35,45.3125,47.937500,93.25,876,0,0
3,Spooky,34,46.875,46.155000,93.03,874,0,0
3,Spooky,26,59.375,32.345000,91.72,872,0,0
3,Spooky,32,50.0,40.930000,90.93,860,0,0
3,Spooky,34,46.875,43.535000,90.41,856,0,0
3,Spooky,27,57.8125,33.037500,90.85,855,0,0
3,Spooky,27,57.8125,33.037500,90.85,854,0,0
3,Spooky,34,46.875,44.625000,91.5,854,0,0
3,Spooky,27,57.8125,41.717500,99.53,852,0,0
3,Spooky,28,56.25,32.200000,88.45,848,0,0
3,Spooky,35,45.3125,44.667500,89.98,848,0,0
3,Spooky,34,46.875,42.665000,89.54,847,0,0
3,Spooky,26,59.375,31.695000,91.07,847,0,0
3,Spooky,28,56.25,33.730000,89.98,846,0,0
3,Spooky,27,57.8125,32.817500,90.63,846,0,0
3,Spooky,34,46.875,42.445000,89.32,843,0,0
3,Spooky,27,57.8125,31.297500,89.11,843,0,0
3,Spooky,32,50.0,39.980000,89.98,841,0,0
3,Spooky,39,39.0625,50.047500,89.11,841,0,0
3,Spooky,36,43.75,43.610000,87.36,840,0,0
3,Spooky,37,42.1875,45.172500,87.36,839,0,0
3,Spooky,38,40.625,48.045000,88.67,839,0,0
3,Spooky,31,51.5625,37.757500,89.32,836,0,0
3,Spooky,32,50.0,38.450000,88.45,835,0,0
3,Spooky,31,51.5625,38.417500,89.98,835,0,0
3,Spooky,41,35.9375,54.472500,90.41,834,0,0
3,Spooky,34,46.875,43.535000,90.41,834,0,0
3,Spooky,28,56.25,30.460000,86.71,833,0,0
3,Spooky,28,56.25,30.240000,86.49,833,0,0
3,Spooky,30,53.125,37.945000,91.07,832,0,0
3,Spooky,36,43.75,43.400000,87.15,832,0,0
3,Spooky,31,51.5625,36.887500,88.45,832,0,0
3,Spooky,28,56.25,32.450000,88.7,830,0,0
3,Spooky,28,56.25,32.420000,88.67,829,0,0
3,Spooky,34,46.875,47.245000,94.12,827,0,0
